env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time,most_used_template,learned_templates_count,total_templates
MiniGrid-LavaGapS6-v0,0,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,0,300,20.65261220932007,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,1,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,0,300,20.65002965927124,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,2,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,0,300,20.539950370788574,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,3,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,0,300,20.46504497528076,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,4,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,0,299,20.378811359405518,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,5,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,0,286,19.96115207672119,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,6,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,0,300,20.647459983825684,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,7,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,0,300,20.640374422073364,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,8,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,0,299,20.532612323760986,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,9,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,0,300,20.75948667526245,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,0,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,1,300,9.85832142829895,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,1,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,1,300,9.65284776687622,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,2,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,1,299,9.466469764709473,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,3,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,1,300,9.577765464782715,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,4,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,1,300,9.649227380752563,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,5,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,1,300,9.726520538330078,Obstacle Avoidance,0,3
MiniGrid-LavaGapS6-v0,6,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,3,1,300,9.756488800048828,Obstacle Avoidance,0,3
